info_loss_args_str,anony_mode,min_k,za,gen,enforcer_str,sample,handler_str,alpha_dm,enforcer,calgo,max_k,data,gen_str,alpha_adm,max_dist,calgo_str,info_loss,range_k,gen_n,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm
"0.50,0.50",anony,2,2.0,zipf,kp#0,-1,n,0.5,kp,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.0,hdbscan#max,adm,1,1.0,0.01287794620830932,0.012713408906106132,0.012713408906106132,0.0,1005.0,0.0,27.666666666666668,0.01287794620830932
"0.50,0.50",anony,2,2.0,zipf,kp#0,-1,n,0.5,kp,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.0,hdbscan#mean,adm,1,1.0,0.2691653082608752,0.012853951646107281,0.012853951646107281,261.0,1005.0,0.0,25.666666666666668,0.009463815723561766
"0.50,0.50",anony,2,2.0,zipf,kp#0,-1,n,0.5,kp,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.0,hdbscan#min,adm,1,1.0,0.2695462512125466,0.013400721763772919,0.013400721763772919,261.0,1005.0,0.0,26.333333333333332,0.00984475867523317
"0.50,0.50",anony,2,2.0,zipf,kp#0,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,0.0,km#max,adm,1,1.0,0.24193897840812525,0.002676546274085919,0.002676546274085919,241.0,1005.0,0.0,26.666666666666668,0.002137983383249591
"0.50,0.50",anony,2,2.0,zipf,kp#0,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,0.0,km#mean,adm,1,1.0,0.7302372053497025,0.000802855055058049,0.000802855055058049,733.6666666666666,1005.0,0.0,9.666666666666666,0.00022062160177553365
"0.50,0.50",anony,2,2.0,zipf,kp#0,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,0.0,km#min,adm,1,1.0,0.7272587312195243,0.0008177175089319303,0.0008177175089319303,730.6666666666666,1005.0,0.0,13.0,0.00022722209846290936
"0.50,0.50",anony,2,2.0,zipf,kp#0,-1,n,0.5,kp,vac,5,email,"zipf#2,5,1,2",0.5,0.0,vac,adm,1,1.0,0.7530430411317023,0.012485957339890314,0.012485957339890314,753.6666666666666,1005.0,0.0,0.0,0.0031259598713374603
"0.50,0.50",anony,2,2.0,zipf,kp#0.25,-1,n,0.5,kp,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.25,hdbscan#max,adm,1,1.0,0.01260005351116957,0.01264010815450048,0.01264010815450048,0.0,1005.0,0.0,30.666666666666668,0.01260005351116957
"0.50,0.50",anony,2,2.0,zipf,kp#0.25,-1,n,0.5,kp,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.25,hdbscan#mean,adm,1,1.0,0.017101592251959823,0.01594521451895194,0.01594521451895194,1.0,1005.0,0.0,35.333333333333336,0.01610656737633793
"0.50,0.50",anony,2,2.0,zipf,kp#0.25,-1,n,0.5,kp,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.25,hdbscan#min,adm,1,1.0,0.016879980575681172,0.01566842386902696,0.01566842386902696,1.0,1005.0,0.0,37.333333333333336,0.015884955700059288
"0.50,0.50",anony,2,2.0,zipf,kp#0.25,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,0.25,km#max,adm,1,1.0,0.04666334284512052,0.011039440154742808,0.011039440154742808,35.666666666666664,1005.0,0.0,35.666666666666664,0.011174122281273091
"0.50,0.50",anony,2,2.0,zipf,kp#0.25,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,0.25,km#mean,adm,1,1.0,0.08150208446042707,0.016728991119577204,0.016728991119577204,65.33333333333333,1005.0,0.0,24.0,0.016493792586463555
"0.50,0.50",anony,2,2.0,zipf,kp#0.25,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,0.25,km#min,adm,1,1.0,0.07786181624452954,0.016881083998218045,0.016881083998218045,61.666666666666664,1005.0,0.0,27.0,0.016501948914512964
"0.50,0.50",anony,2,2.0,zipf,kp#0.25,-1,n,0.5,kp,vac,5,email,"zipf#2,5,1,2",0.5,0.25,vac,adm,1,1.0,0.04029620907544721,0.017565496736468105,0.017565496736468105,22.333333333333332,1005.0,0.0,31.666666666666668,0.018073986853224994
"0.50,0.50",anony,2,2.0,zipf,kp#0.50,-1,n,0.5,kp,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.5,hdbscan#max,adm,1,1.0,0.012063150252056468,0.012108355216475337,0.012108355216475337,0.0,1005.0,0.0,30.0,0.012063150252056468
"0.50,0.50",anony,2,2.0,zipf,kp#0.50,-1,n,0.5,kp,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.5,hdbscan#mean,adm,1,1.0,0.01573241350697354,0.015474049786137608,0.015474049786137608,0.0,1005.0,0.0,34.666666666666664,0.01573241350697354
"0.50,0.50",anony,2,2.0,zipf,kp#0.50,-1,n,0.5,kp,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.5,hdbscan#min,adm,1,1.0,0.015849313017947456,0.015626122570976796,0.015626122570976796,0.0,1005.0,0.0,33.333333333333336,0.015849313017947456
"0.50,0.50",anony,2,2.0,zipf,kp#0.50,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,0.5,km#max,adm,1,1.0,0.019332041521838806,0.013480433889659181,0.013480433889659181,5.0,1005.0,0.0,34.333333333333336,0.014356917143729352
"0.50,0.50",anony,2,2.0,zipf,kp#0.50,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,0.5,km#mean,adm,1,1.0,0.0291362425022483,0.020803076917913645,0.020803076917913645,7.0,1005.0,0.0,27.0,0.022171068372895064
"0.50,0.50",anony,2,2.0,zipf,kp#0.50,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,0.5,km#min,adm,1,1.0,0.029052439767521063,0.020779296044243483,0.020779296044243483,7.0,1005.0,0.0,26.0,0.022087265638167836
"0.50,0.50",anony,2,2.0,zipf,kp#0.50,-1,n,0.5,kp,vac,5,email,"zipf#2,5,1,2",0.5,0.5,vac,adm,1,1.0,0.020846902657996446,0.018343517606127856,0.018343517606127856,1.6666666666666667,1005.0,0.0,34.333333333333336,0.019188527865293296
"0.50,0.50",anony,2,2.0,zipf,kp#0.75,-1,n,0.5,kp,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.75,hdbscan#max,adm,1,1.0,0.012602269392200332,0.012456873179598843,0.012456873179598843,0.0,1005.0,0.0,27.666666666666668,0.012602269392200332
"0.50,0.50",anony,2,2.0,zipf,kp#0.75,-1,n,0.5,kp,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.75,hdbscan#mean,adm,1,1.0,0.01571834030510796,0.015460136448617018,0.015460136448617018,0.0,1005.0,0.0,34.666666666666664,0.01571834030510796
"0.50,0.50",anony,2,2.0,zipf,kp#0.75,-1,n,0.5,kp,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.75,hdbscan#min,adm,1,1.0,0.01581328137799512,0.015587491437239795,0.015587491437239795,0.0,1005.0,0.0,33.333333333333336,0.01581328137799512
"0.50,0.50",anony,2,2.0,zipf,kp#0.75,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,0.75,km#max,adm,1,1.0,0.015003223635435714,0.013174610767576983,0.013174610767576983,1.0,1005.0,0.0,37.666666666666664,0.014008198759813822
"0.50,0.50",anony,2,2.0,zipf,kp#0.75,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,0.75,km#mean,adm,1,1.0,0.02238418190968869,0.020364159822518605,0.020364159822518605,1.0,1005.0,0.0,27.0,0.021389157034066797
"0.50,0.50",anony,2,2.0,zipf,kp#0.75,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,0.75,km#min,adm,1,1.0,0.023244544866286892,0.020981246091649957,0.020981246091649957,1.0,1005.0,0.0,25.666666666666668,0.022249519990665007
"0.50,0.50",anony,2,2.0,zipf,kp#0.75,-1,n,0.5,kp,vac,5,email,"zipf#2,5,1,2",0.5,0.75,vac,adm,1,1.0,0.019524127762042664,0.018356409333391926,0.018356409333391926,0.3333333333333333,1005.0,0.0,34.666666666666664,0.019192452803502034
"0.50,0.50",anony,2,2.0,zipf,kp#1.00,-1,n,0.5,kp,hdbscan,5,email,"zipf#2,5,1,2",0.5,1.0,hdbscan#max,adm,1,1.0,0.01242984320284387,0.012447874225592776,0.012447874225592776,0.0,1005.0,0.0,28.333333333333332,0.01242984320284387
"0.50,0.50",anony,2,2.0,zipf,kp#1.00,-1,n,0.5,kp,hdbscan,5,email,"zipf#2,5,1,2",0.5,1.0,hdbscan#mean,adm,1,1.0,0.015788788820644467,0.015498738312865362,0.015498738312865362,0.0,1005.0,0.0,33.666666666666664,0.015788788820644467
"0.50,0.50",anony,2,2.0,zipf,kp#1.00,-1,n,0.5,kp,hdbscan,5,email,"zipf#2,5,1,2",0.5,1.0,hdbscan#min,adm,1,1.0,0.015548212502990849,0.015308376445568395,0.015308376445568395,0.0,1005.0,0.0,35.0,0.015548212502990849
"0.50,0.50",anony,2,2.0,zipf,kp#1.00,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,1.0,km#max,adm,1,1.0,0.014510920875367298,0.013588590543545574,0.013588590543545574,0.0,1005.0,0.0,35.0,0.014510920875367298
"0.50,0.50",anony,2,2.0,zipf,kp#1.00,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,1.0,km#mean,adm,1,1.0,0.022066992684056614,0.021007089896832375,0.021007089896832375,0.0,1005.0,0.0,26.666666666666668,0.022066992684056614
"0.50,0.50",anony,2,2.0,zipf,kp#1.00,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,1.0,km#min,adm,1,1.0,0.02247681280873529,0.021295640389952936,0.021295640389952936,0.0,1005.0,0.0,25.333333333333332,0.02247681280873529
"0.50,0.50",anony,2,2.0,zipf,kp#1.00,-1,n,0.5,kp,vac,5,email,"zipf#2,5,1,2",0.5,1.0,vac,adm,1,1.0,0.019785295272040638,0.018775070800571492,0.018775070800571492,0.0,1005.0,0.0,31.666666666666668,0.019785295272040638
