data,sample,anony_mode,gen,gen_args,gen_str,gen_n,max_k,min_k,range_k,info_loss,alpha_adm,alpha_dm,info_loss_args,info_loss_args_str,handler_str,calgo,calgo_args,calgo_str,enforcer,enforcer_str,enforcer_args,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm,max_dist,za
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,sr,sr,,0.331149193594611,0.18443435378045883,0.18443435378045883,0,5000,0,4,0.331149193594611,,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,kp,kp#0.25,0.25,0.0027456891759121554,0.0027302127040904167,0.0027302127040904167,0,5000,0,720,0.0027456891759121554,0.25,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,kp,kp#0.50,0.50,0.002720378789223145,0.0027051348536902553,0.0027051348536902553,0,5000,0,723,0.002720378789223145,0.5,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,kp,kp#0.75,0.75,0.0027553573679394918,0.002739827876697054,0.002739827876697054,0,5000,0,729,0.0027553573679394918,0.75,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,kp,kp#0,0,0.01789579258684532,0.0027247415392715646,0.0027247415392715646,76,5000,0,711,0.0026957925868453204,0.0,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,kp,kp#1.00,1.00,0.002756938635043151,0.0027404800700870117,0.0027404800700870117,0,5000,0,715,0.002756938635043151,1.0,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.25,0.25,0.001624894387021803,0.0012770804467176395,0.0012770804467176395,0,5000,0,0,0.001624894387021803,0.25,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.50,0.50,0.0016154581847847166,0.001277889879017699,0.001277889879017699,0,5000,0,0,0.0016154581847847166,0.5,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.75,0.75,0.0016109001557419336,0.001275789467788613,0.001275789467788613,0,5000,0,0,0.0016109001557419336,0.75,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0,0,0.001999929234302749,0.0012686414648129926,0.0012686414648129926,2,5000,0,0,0.0015999292343027492,0.0,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#1.00,1.00,0.0016511631785212505,0.001296970435772357,0.001296970435772357,0,5000,0,0,0.0016511631785212505,1.0,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,sr,sr,,0.32144797991669327,0.0165415911819987,0.0165415911819987,2,5000,0,26,0.32104797991669326,,
