range_k,calgo_str,enforcer_str,gen,info_loss,handler_str,max_k,alpha_adm,info_loss_args_str,gen_str,anony_mode,min_k,data,max_dist,alpha_dm,sample,enforcer,za,calgo,gen_n,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm
1,hdbscan#max,kp#0,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.0,0.5,-1,kp,,hdbscan,0.0,0.002731094921454761,0.002715666549563704,0.002715666549563704,0.0,5000.0,0.0,724.0,0.002731094921454761
1,hdbscan#max,kp#0,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.0,0.5,-1,kp,2.0,hdbscan,1.0,0.0027239449834336204,0.0027082375878966828,0.0027082375878966828,0.0,5000.0,0.0,107.66666666666667,0.0027239449834336204
1,hdbscan#max,kp#0.25,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.25,0.5,-1,kp,,hdbscan,0.0,0.0027171139049214504,0.0027021499244170447,0.0027021499244170447,0.0,5000.0,0.0,719.0,0.0027171139049214504
1,hdbscan#max,kp#0.25,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.25,0.5,-1,kp,2.0,hdbscan,1.0,0.002726153868424679,0.002711335873434234,0.002711335873434234,0.0,5000.0,0.0,114.33333333333333,0.002726153868424679
1,hdbscan#max,kp#0.50,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.5,0.5,-1,kp,,hdbscan,0.0,0.002717535912928927,0.002702803315456218,0.002702803315456218,0.0,5000.0,0.0,723.0,0.002717535912928927
1,hdbscan#max,kp#0.50,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.5,0.5,-1,kp,2.0,hdbscan,1.0,0.0027259188315256386,0.0027102656819061707,0.0027102656819061707,0.0,5000.0,0.0,107.33333333333333,0.0027259188315256386
1,hdbscan#max,kp#0.75,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.75,0.5,-1,kp,,hdbscan,0.0,0.0027340783964956194,0.002719304693707719,0.002719304693707719,0.0,5000.0,0.0,715.0,0.0027340783964956194
1,hdbscan#max,kp#0.75,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.75,0.5,-1,kp,2.0,hdbscan,1.0,0.002727123886627358,0.0027116589029732197,0.0027116589029732197,0.0,5000.0,0.0,113.66666666666667,0.002727123886627358
1,hdbscan#max,kp#1.00,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,1.0,0.5,-1,kp,,hdbscan,0.0,0.0027298456541684077,0.0027142921841414257,0.0027142921841414257,0.0,5000.0,0.0,728.0,0.0027298456541684077
1,hdbscan#max,kp#1.00,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,1.0,0.5,-1,kp,2.0,hdbscan,1.0,0.0027181135379065868,0.002702839456338469,0.002702839456338469,0.0,5000.0,0.0,118.33333333333333,0.0027181135379065868
