data,sample,anony_mode,gen,gen_args,gen_str,gen_n,max_k,min_k,range_k,info_loss,alpha_adm,alpha_dm,info_loss_args,info_loss_args_str,handler_str,calgo,calgo_args,calgo_str,enforcer,enforcer_str,enforcer_args,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm,max_dist,za
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,sr,sr,,0.35447413876973743,0.0044757578592937945,0.0044757578592937945,0,8917,0,225,0.35447413876973743,,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,kp,kp#0.25,0.25,0.001940601309052501,0.0018929325441815695,0.0018929325441815695,0,8917,0,1685,0.001940601309052501,0.25,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,kp,kp#0.50,0.50,0.00194735799491309,0.0019006305928876105,0.0019006305928876105,0,8917,0,1685,0.00194735799491309,0.5,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,kp,kp#0.75,0.75,0.001943887605529347,0.0018966218997432268,0.0018966218997432268,0,8917,0,1685,0.001943887605529347,0.75,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,kp,kp#0,0,0.1633222817814405,0.0019174449832334629,0.0019174449832334629,1442,8917,0,1417,0.001608700980722759,0.0,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,kp,kp#1.00,1.00,0.0019528694212134412,0.0019060775480465731,0.0019060775480465731,0,8917,0,1685,0.0019528694212134412,1.0,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.25,0.25,0.0007659797759793584,0.0006712458699166807,0.0006712458699166807,0,8917,0,0,0.0007659797759793584,0.25,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.50,0.50,0.0007673497088367618,0.0006724487928161054,0.0006724487928161054,0,8917,0,0,0.0007673497088367618,0.5,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.75,0.75,0.0007666148385163661,0.0006716777700173389,0.0006716777700173389,0,8917,0,0,0.0007666148385163661,0.75,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0,0,0.0007705332095576284,0.0006745766621517433,0.0006745766621517433,0,8917,0,0,0.0007705332095576284,0.0,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#1.00,1.00,0.0007656153390809834,0.0006706628238374069,0.0006706628238374069,0,8917,0,0,0.0007656153390809834,1.0,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,sr,sr,,0.27019789537076355,0.0016827937568399183,0.0016827937568399183,0,8917,0,338,0.27019789537076355,,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,kp,kp#0.50,0.50,0.0019441824687001861,0.0018970199307506471,0.0018970199307506471,0,8917,0,1685,0.0019441824687001861,0.5,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,kp,kp#0.75,0.75,0.0019458386256960847,0.0018990729178582945,0.0018990729178582945,0,8917,0,1685,0.0019458386256960847,0.75,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,kp,kp#0,0,0.16332832577547948,0.001925175088276623,0.001925175088276623,1442,8917,0,1417,0.001614744974761751,0.0,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,kp,kp#1.00,1.00,0.0019389629029096967,0.0018923339776128383,0.0018923339776128383,0,8917,0,1685,0.0019389629029096967,1.0,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#0.25,0.25,0.0007636722047508339,0.0006693055951504826,0.0006693055951504826,0,8917,0,0,0.0007636722047508339,0.25,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#0.50,0.50,0.0007675321459670814,0.0006722901744126999,0.0006722901744126999,0,8917,0,0,0.0007675321459670814,0.5,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#0.75,0.75,0.0007646266421995467,0.0006697219515596754,0.0006697219515596754,0,8917,0,0,0.0007646266421995467,0.75,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#0,0,0.0007667394671975654,0.0006715479308264062,0.0006715479308264062,0,8917,0,0,0.0007667394671975654,0.0,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#1.00,1.00,0.0007640924204684083,0.0006697620149478476,0.0006697620149478476,0,8917,0,0,0.0007640924204684083,1.0,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,sr,sr,,0.27019789537076355,0.0016827937568399183,0.0016827937568399183,0,8917,0,338,0.27019789537076355,,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,kp,kp#0.25,0.25,0.0023753090112469694,0.0017058331775606462,0.0017058331775606462,5,8917,0,1723,0.0018145823094414294,0.25,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,kp,kp#0.75,0.75,0.001870363574557479,0.0017600299279365277,0.0017600299279365277,0,8917,0,1726,0.001870363574557479,0.75,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,kp,kp#0,0,0.22302849079748807,0.0012201163643750096,0.0012201163643750096,1980,8917,0,1337,0.000980716882494243,0.0,
yago,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,kp,kp#1.00,1.00,0.0018687051335692496,0.0017605414601481967,0.0017605414601481967,0,8917,0,1726,0.0018687051335692496,1.0,
