range_k,calgo_str,enforcer_str,gen,info_loss,handler_str,max_k,alpha_adm,info_loss_args_str,gen_str,anony_mode,min_k,data,max_dist,alpha_dm,sample,enforcer,za,calgo,gen_n,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm
1,hdbscan#max,kp#0,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.0,0.5,-1,kp,,hdbscan,0.0,0.0018621182108355028,0.001830528646923198,0.001830528646923198,0.0,8917.0,0.0,1707.0,0.0018621182108355028
1,hdbscan#max,kp#0,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.0,0.5,-1,kp,2.0,hdbscan,1.0,0.0018576260292635712,0.0018264276009330265,0.0018264276009330265,0.0,8917.0,0.0,237.33333333333334,0.0018576260292635712
1,hdbscan#max,kp#0.25,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.25,0.5,-1,kp,,hdbscan,0.0,0.0018474251844348385,0.0018160042976998305,0.0018160042976998305,0.0,8917.0,0.0,1707.0,0.0018474251844348385
1,hdbscan#max,kp#0.25,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.25,0.5,-1,kp,2.0,hdbscan,1.0,0.00185473839606026,0.001823447221624497,0.001823447221624497,0.0,8917.0,0.0,222.66666666666666,0.00185473839606026
1,hdbscan#max,kp#0.50,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.5,0.5,-1,kp,,hdbscan,0.0,0.0018535949585997914,0.0018217429919777117,0.0018217429919777117,0.0,8917.0,0.0,1707.0,0.0018535949585997914
1,hdbscan#max,kp#0.50,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.5,0.5,-1,kp,2.0,hdbscan,1.0,0.001848687152674256,0.0018175105120428947,0.0018175105120428947,0.0,8917.0,0.0,221.0,0.001848687152674256
1,hdbscan#max,kp#0.75,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.75,0.5,-1,kp,,hdbscan,0.0,0.0018570687065319188,0.0018264031544877914,0.0018264031544877914,0.0,8917.0,0.0,1707.0,0.0018570687065319188
1,hdbscan#max,kp#0.75,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.75,0.5,-1,kp,2.0,hdbscan,1.0,0.0018495830870590346,0.00181810695746947,0.00181810695746947,0.0,8917.0,0.0,232.0,0.0018495830870590346
1,hdbscan#max,kp#1.00,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,1.0,0.5,-1,kp,,hdbscan,0.0,0.0018451013360768062,0.001813835035588372,0.001813835035588372,0.0,8917.0,0.0,1707.0,0.0018451013360768062
1,hdbscan#max,kp#1.00,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,1.0,0.5,-1,kp,2.0,hdbscan,1.0,0.0018515459117323392,0.0018202121054235118,0.0018202121054235118,0.0,8917.0,0.0,233.0,0.0018515459117323392
1,hdbscan#max,ms#0,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.0,0.5,-1,ms,,hdbscan,0.0,0.0008216509148313896,0.0006842673336906195,0.0006842673336906195,0.0,8917.0,0.0,0.0,0.0008216509148313896
1,hdbscan#max,ms#0,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.0,0.5,-1,ms,2.0,hdbscan,1.0,0.001659495371243694,0.0015319814728524293,0.0015319814728524293,0.0,8917.0,0.0,0.0,0.001659495371243694
1,hdbscan#max,ms#0.25,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.25,0.5,-1,ms,,hdbscan,0.0,0.0008269460920555764,0.0006882161693978622,0.0006882161693978622,0.0,8917.0,0.0,0.0,0.0008269460920555764
