data,sample,gen,gen_args,gen_str,gen_n,max_k,min_k,range_k,za,info_loss,alpha_adm,alpha_dm,info_loss_args,info_loss_args_str,handler_str,calgo,calgo_args,calgo_str,enforcer,enforcer_str,enforcer_args,max_dist,adm,dm,am,num_fake_edges,radm,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,removed_entities,num_removed_edges,num_anonymized_fake_entities
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.25,0.25,0.25,0.02891903039209186,0.003213873333333458,0.054624187450850084,1061003,0.02599734420001776,5000,4985,43780,1104009,1,25,1,15,774,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.50,0.50,0.5,0.027784020830173374,0.0014021600000000602,0.05416588166034698,1068632,0.02661608156978737,5000,4994,43780,1111536,1,25,1,6,876,0
freebase,-1,zipf,"2,5,1,2","zipf#2,5,1,2",2,5,2,1,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,sr,sr,,,0.1753922740769769,0.15991539333333085,0.19086915482062108,793943,0.01857087308760954,5000,4201,43780,828873,1,2,1,799,8850,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,ms,ms#1.00,1.00,1.0,0.026893664303135365,0.00022671999999998653,0.05356060860627063,1082181,0.026893664303135365,5000,5000,43780,1125222,1,50,2,0,739,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,ms,ms#0.50,0.50,0.5,0.018653219903836858,0.00018425333333332378,0.0371221864743404,760230,0.018653219903836858,5000,5000,43780,802949,1,5,1,0,1061,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#1.00,1.00,1.0,0.028973087693850475,0.00023929333333331967,0.05770688205436764,1130043,0.028973087693850475,5000,5000,43780,1173287,1,8,1,0,536,0
freebase,-1,te,"2,5,1","te#2,5,1",0,5,2,1,,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,sr,sr,,,0.40401705673997584,0.40044811333333075,0.4075860001466177,246210,0.006059241603093546,5000,2998,43780,269799,1,2,1,2002,20191,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#0.00,0.00,0.0,0.010250490357113671,0.0011220800000000415,0.01937890071422737,348992,0.009259811269484263,5000,4995,43780,392492,1,5,1,5,280,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#0.25,0.25,0.25,0.02856995919338351,0.0032115400000000834,0.053928378386767055,1050190,0.025647219115524474,5000,4985,43780,1092914,1,25,1,15,1056,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0.25,0.25,0.25,0.030442258239797456,0.0032382466666667697,0.05764626981292848,1144211,0.02752519226191925,5000,4985,43780,1187169,1,20,2,15,822,0
