calgo_str,enforcer,info_loss_args_str,gen,alpha_dm,sample,enforcer_str,max_dist,anonymized_anonymity,alpha_adm,data,anonymized_attribute_anonymity,num_anonymized_edges,info_loss,num_removed_edges,max_k,handler_str,anonymized_degree_anonymity,za,gen_str,range_k,min_k,num_anonymized_entities,num_anonymized_fake_entities,calgo,num_raw_edges,num_fake_edges,gen_n,adm,dm,am,radm,num_raw_entities,removed_entities
hdbscan#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.00,0.0,1,0.5,freebase,25,1092801,adm,1293,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,1050314,1,0.028525567409860196,0.0031619666666667756,0.053889168153053536,0.025602618947746576,5000,15
hdbscan#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.00,0.0,1,0.5,freebase,50,1111060,adm,519,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,1067799,0,0.028775944906750204,0.003218393333333465,0.05433349648016701,0.025853834987439653,5000,15
hdbscan#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.00,0.0,1,0.5,freebase,50,1113510,adm,533,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,1070263,2,0.028652327490353065,0.003242526666666808,0.05406212831403928,0.025729882021070273,5000,15
hdbscan#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.25,0.25,1,0.5,freebase,25,1084448,adm,1145,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,1041813,2,0.028401790198641322,0.003165740000000121,0.053637840397282616,0.025478474981660483,5000,15
hdbscan#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.25,0.25,1,0.5,freebase,25,1106776,adm,1303,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,1064299,0,0.029157392776962388,0.003188713333333439,0.055126072220591335,0.02623638585629647,5000,15
hdbscan#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.25,0.25,1,0.5,freebase,50,1107866,adm,1369,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,1065455,1,0.02911835704760822,0.0031678733333334783,0.05506884076188295,0.026197201218968246,5000,15
hdbscan#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.50,0.5,1,0.5,freebase,25,1095151,adm,1213,50,n,1,2.0,"zipf#5,50,5,2",5,5,4994,0,hdbscan,43780,1052584,2,0.027290812218668265,0.0013897200000000834,0.053191904437336464,0.026122272914928683,5000,6
hdbscan#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.50,0.5,1,0.5,freebase,25,1112051,adm,724,50,n,1,2.0,"zipf#5,50,5,2",5,5,4994,0,hdbscan,43780,1068995,1,0.02805168466898203,0.0014186933333333912,0.05468467600463058,0.026884076934952247,5000,6
hdbscan#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.50,0.5,2,0.5,freebase,25,1105989,adm,902,50,n,3,2.0,"zipf#5,50,5,2",5,5,4994,0,hdbscan,43780,1063111,0,0.02778134843265662,0.0014174800000000755,0.05414521686531309,0.026613415175641114,5000,6
hdbscan#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.75,0.75,1,0.5,freebase,25,1097011,adm,546,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,hdbscan,43780,1053777,1,0.025989093193021763,0.00022573333333332065,0.05175245305271028,0.025989093193021763,5000,0
hdbscan#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.75,0.75,1,0.5,freebase,25,1118997,adm,424,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,hdbscan,43780,1075641,0,0.0267568447756933,0.00022543999999998695,0.0532882495513868,0.0267568447756933,5000,0
hdbscan#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.75,0.75,1,0.5,freebase,25,1122200,adm,703,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,hdbscan,43780,1079123,2,0.026772982539724655,0.00020511999999998887,0.053340845079449056,0.026772982539724655,5000,0
hdbscan#max,ms,"0.50,0.50",zipf,0.5,-1,ms#1.00,1.0,1,0.5,freebase,25,1112501,adm,1152,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,hdbscan,43780,1069873,1,0.026618683729245113,0.00017945333333332317,0.053057914125156785,0.026618683729245113,5000,0
hdbscan#max,ms,"0.50,0.50",zipf,0.5,-1,ms#1.00,1.0,1,0.5,freebase,25,1124622,adm,507,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,hdbscan,43780,1081349,0,0.02683986640047851,0.00024150666666665285,0.05343822613429069,0.02683986640047851,5000,0
