data,sample,gen,gen_args,gen_str,gen_n,max_k,min_k,range_k,za,info_loss,alpha_adm,alpha_dm,info_loss_args,info_loss_args_str,handler_str,calgo,calgo_args,calgo_str,enforcer,enforcer_str,enforcer_args,max_dist,adm,dm,am,num_fake_edges,radm,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,removed_entities,num_removed_edges,num_anonymized_fake_entities
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.25,0.25,0.25,0.01421048911141188,7.30416171898873e-05,0.028347936605634092,2273069,0.01421048911141188,8917,8917,96366,2368413,1,5,1,0,1022,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.50,0.50,0.5,0.013930220555511545,4.4954975790150664e-05,0.02781548613523296,2210305,0.013930220555511545,8917,8917,96366,2305267,1,7,1,0,1404,0
yago,-1,zipf,"2,5,1,2","zipf#2,5,1,2",2,5,2,1,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,sr,sr,,,0.21322359116125847,0.18834416895606196,0.2381030133664657,5008593,0.030872295980198486,8917,7239,96366,5064130,1,2,1,1678,40829,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,ms,ms#1.00,1.00,1.0,0.014065657467750629,2.9275127960699948e-05,0.028102039807540675,2199498,0.014065657467750629,8917,8917,96366,2294185,1,25,1,0,1679,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,ms,ms#0.50,0.50,0.5,0.02430938474083369,0.008633002883343857,0.039985766598324035,2530032,0.015922519852863304,8917,8841,96366,2622427,1,15,1,76,3971,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#1.00,1.00,1.0,0.014988221458177917,0.00011746523258637826,0.029858977683769276,2377788,0.014988221458177917,8917,8917,96366,2473768,1,6,1,0,386,0
yago,-1,te,"2,5,1","te#2,5,1",0,5,2,1,,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,sr,sr,,,0.47382148948703523,0.4667107492471997,0.480932229726864,1528786,0.013531292715477488,8917,4756,96366,1547375,1,2,1,4161,77777,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#0.00,0.00,0.0,0.012812028579901873,0.008685780490254825,0.01693827666954913,704290,0.004213441572342836,8917,8840,96366,795756,1,5,1,77,4900,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#0.25,0.25,0.25,0.014063832628923854,5.7320895484000455e-05,0.028070344362363685,2244854,0.014063832628923854,8917,8917,96366,2339965,1,7,1,0,1255,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0.25,0.25,0.25,0.02579366307059571,0.011863163153334931,0.03972416298785676,2293722,0.014185969526350302,8917,8812,96366,2384964,1,21,1,105,5124,0
yago,-1,zipf,"2,5,1,2","zipf#2,5,1,2",2,5,2,1,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,sr,sr,,,0.33214486187355713,0.07938952042102077,0.5849002033260983,36512573,0.2749182495877435,8917,8213,96366,36601255,1,2,1,704,7684,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,ms,ms#1.00,1.00,1.0,0.01598231098840487,0.0001243509086935574,0.031840271068116405,2554951,0.01598231098840487,8917,8917,96366,2650844,1,6,1,0,473,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,ms,ms#0.00,0.00,0.0,0.35877431245947405,0.3531876558402956,0.3643609690786476,1160614,0.008719265753105297,8917,5768,96366,1205058,1,5,1,3149,51922,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#1.00,1.00,1.0,0.014549445142637818,0.00010695435805382424,0.028991935927221664,2312490,0.014549445142637818,8917,8917,96366,2408203,1,25,1,0,653,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0.25,0.25,0.25,0.014575698610185291,0.0006468149459391554,0.028504582274431662,2286050,0.014022859049414308,8917,8912,96366,2377056,1,13,1,5,5360,0
yago,-1,te,"2,5,1","te#2,5,1",0,5,2,1,,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,sr,sr,,,0.47497311479299203,0.467047776367435,0.48289845321856206,1690800,0.015069760196059146,8917,4753,96366,1709514,1,2,1,4164,77652,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.25,0.25,0.25,0.014349454663922507,9.56857447350437e-05,0.02860322358311019,2297003,0.014349454663922507,8917,8917,96366,2392661,1,7,1,0,708,0
yago,-1,zipf,"2,5,1,2","zipf#2,5,1,2",1,5,2,1,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,sr,sr,,,0.49741433795968487,0.48891919113892385,0.5059094847804458,1873933,0.01684395563028453,8917,4558,96366,1890574,1,2,1,4359,79725,0
