anonymized_anonymity,num_anonymized_edges,num_removed_edges,data,calgo,min_k,num_raw_edges,alpha_adm,anonymized_attribute_anonymity,anonymized_degree_anonymity,handler_str,enforcer,enforcer_str,gen,gen_str,num_anonymized_fake_entities,max_k,sample,max_dist,range_k,za,info_loss_args_str,info_loss,alpha_dm,num_fake_edges,num_anonymized_entities,calgo_str,gen_n,adm,dm,am,radm,num_raw_entities,removed_entities
1,152505,3385,yago,vac,2,96366,0.5,2,1,n,sr,sr,te,"te#2,5,1",0,5,-1,,1,,"0.50,0.50",adm,0.5,59524,8778,vac,0,0.015955769927312534,0.015592176508641288,0.016319363345983866,0.0003734200298911799,8917,139
1,202023,3401,yago,vac,2,96366,0.5,2,1,n,sr,sr,zipf,"zipf#2,5,1,2",0,5,-1,,1,2.0,"0.50,0.50",adm,0.5,109058,8779,vac,0,0.01615401394010958,0.015483835582933026,0.016824192297286218,0.0006886760980986387,8917,138
1,202078,3407,yago,vac,2,96366,0.5,2,1,n,sr,sr,zipf,"zipf#2,5,1,2",0,5,-1,,1,2.0,"0.50,0.50",adm,0.5,109119,8778,vac,2,0.01626282399061876,0.01559666320261617,0.01692898477862148,0.0006853723932425691,8917,139
1,203233,3438,yago,vac,2,96366,0.5,2,1,n,sr,sr,zipf,"zipf#2,5,1,2",0,5,-1,,1,2.0,"0.50,0.50",adm,0.5,110305,8780,vac,1,0.016032903055003864,0.015371262638941507,0.016694543471066272,0.0006794883761665515,8917,137
1,323789,6551,yago,vac,5,96366,0.5,5,1,n,sr,sr,te,"te#5,50,5",0,50,-1,,5,,"0.50,0.50",adm,0.5,233974,8740,vac,0,0.02118653910304551,0.019865103253888967,0.02250797495220224,0.0013640455031340769,8917,177
1,763224,4230,yago,vac,5,96366,0.5,5,1,n,ms,ms#0.00,zipf,"zipf#5,50,5,2",0,50,-1,0.0,5,2.0,"0.50,0.50",adm,0.5,671088,8775,vac,0,0.019971086363994184,0.01596756690603968,0.02397460582194873,0.004112281978251033,8917,142
1,776124,1060,yago,vac,5,96366,0.5,5,1,n,ms,ms#0.25,zipf,"zipf#5,50,5,2",0,50,-1,0.25,5,2.0,"0.50,0.50",adm,0.5,680818,8917,vac,0,0.004324935599787057,3.443781296891348e-05,0.008615433386605129,0.004324935599787057,8917,0
1,776124,1060,yago,vac,5,96366,0.5,5,1,n,ms,ms#0.50,zipf,"zipf#5,50,5,2",0,50,-1,0.5,5,2.0,"0.50,0.50",adm,0.5,680818,8917,vac,0,0.004324935599787057,3.443781296891348e-05,0.008615433386605129,0.004324935599787057,8917,0
1,776124,1060,yago,vac,5,96366,0.5,5,1,n,ms,ms#0.75,zipf,"zipf#5,50,5,2",0,50,-1,0.75,5,2.0,"0.50,0.50",adm,0.5,680818,8917,vac,0,0.004324935599787057,3.443781296891348e-05,0.008615433386605129,0.004324935599787057,8917,0
1,776124,1060,yago,vac,5,96366,0.5,5,1,n,ms,ms#1.00,zipf,"zipf#5,50,5,2",0,50,-1,1.0,5,2.0,"0.50,0.50",adm,0.5,680818,8917,vac,0,0.004324935599787057,3.443781296891348e-05,0.008615433386605129,0.004324935599787057,8917,0
